study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
book,,0,0,0,2,,,,,28.32737320000888,28.32737320000888,1.974074074074074,2.7722033000027295,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
nail,,0,1,1,9,,,,,31.087845500005642,31.087845500005642,3.9814814814814814,2.4305571999866515,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
tiger,,0,2,2,1,,,,,33.543217400001595,33.543217400001595,2.0925925925925926,2.4266294999979436,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
plane,,0,3,3,4,,,,,35.99343210001825,35.99343210001825,5,2.592077600012999,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
fire,,0,4,4,14,,,,,38.6075145000068,38.6075145000068,2.322222222222222,2.210344699997222,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
water,,0,5,5,7,,,,,40.840725900023244,40.840725900023244,3.9703703703703703,3.7431073999905493,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
land,,0,6,6,6,,,,,44.60661500002607,44.60661500002607,1.0222222222222221,1.8772848999942653,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
mate,,0,7,7,8,,,,,46.50635290000355,46.50635290000355,1.974074074074074,5.062081399984891,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
flower,,0,8,8,11,,,,,51.58970410001348,51.58970410001348,1.974074074074074,0.8450862999889068,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
color,,0,9,9,10,,,,,52.45566780000809,52.45566780000809,1.974074074074074,1.0291081999894232,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
family,,0,10,10,5,,,,,53.505419300025096,53.505419300025096,2.9333333333333336,1.6940248000028078,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
cushion,,0,11,11,3,,,,,55.22335230000317,55.22335230000317,2.0037037037037035,2.642414900008589,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
slate,,0,12,12,13,,,,,57.888285100023495,57.888285100023495,3.0037037037037035,1.4622325999953318,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
gate,,0,13,13,12,,,,,59.37142720000702,59.37142720000702,4.011111111111111,1.548066800023662,,,,,,,,,,,,,078671,001,2022-10-20_21h08.27.564,priming,2022.2.2,59.97947502097618,
