trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.3023013,74.2047452,74.2047452,74.5197351,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.049942468,0.0003979,77.6193788,77.6193788,77.9191647,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,down,0.01,db,0.049885003,0.0003848,80.2689854,80.2689854,80.5688877,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.049942468,0.0003197,82.8353576,82.8353576,83.1350778,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.049942468,0.0003172,85.2850418,85.2850418,85.5848816,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.05,0.0003938,88.6013867,88.6013867,88.9009405,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.01,db,0.05,0.0002787,99.2999188,99.2999188,99.5997491,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,up,0.01,db,0.05,0.0002745,102.6496097,102.6496097,102.9493787,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,0.01,db,0.050057598,0.0003494,108.0154019,108.0154019,108.3155271,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,up,0.01,db,0.050057598,0.0004176,110.9650105,110.9650105,111.2649805,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.01,db,0.050115262,0.000343,113.9315188,113.9315188,114.2311467,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,0.01,db,0.050172992,0.0004348,116.764205,116.764205,117.0643644,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.01,db,0.050172992,0.0004189,119.6139169,119.6139169,119.9140052,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.01,db,0.05023079,0.0004281,122.3804215,122.3804215,122.6803205,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.01,db,0.05023079,0.0005376,125.1464735,125.1464735,125.446155,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.01,db,0.050288653,0.0003245,127.8960574,127.8960574,128.1963138,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.01,db,0.050346583,0.000314,130.6958973,130.6958973,130.9958447,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.01,db,0.050346583,0.0002907,133.3790235,133.3790235,133.6787767,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.01,db,0.050346583,0.0004358,136.1452116,136.1452116,136.4452613,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.01,db,0.05040458,0.0003467,139.0280943,139.0280943,139.3281544,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.01,db,0.050462644,0.0003479,141.8280528,141.8280528,142.1276805,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.01,db,0.050462644,0.0002804,148.8103115,148.8103115,149.1101636,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.01,db,0.050520775,0.0003363,151.359788,151.359788,151.659779,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.01,db,0.050520775,0.000357,154.2262618,154.2262618,154.5262265,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.01,db,0.050520775,0.0003135,156.7594298,156.7594298,157.0592336,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.01,db,0.050578973,0.0003105,159.5086715,159.5086715,159.8088007,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.01,db,0.050637237,0.0003153,162.258643,162.258643,162.5584254,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.01,db,0.050637237,0.0004136,164.9748103,164.9748103,165.2746144,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.01,db,0.050695569,0.0003548,167.9411231,167.9411231,168.2411539,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.01,db,0.050695569,0.0003302,170.9073902,170.9073902,171.2074772,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.01,db,0.050753968,0.0004705,176.8732874,176.8732874,177.1730786,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.01,db,0.050753968,0.0005723,180.9729537,180.9729537,181.2725937,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.01,db,0.050753968,0.0003215,183.7724953,183.7724953,184.0724234,0,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.01,db,0.050812435,0.000281,186.5720531,186.5720531,186.8720719,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.01,db,0.050812435,0.0004205,189.1385365,189.1385365,189.4384476,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.01,db,0.050812435,0.0002911,191.7549303,191.7549303,192.0546369,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,down,0.005,db,0.050783193,0.0002589,194.687725,194.687725,194.9877374,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,down,0.005,db,0.050783193,0.0003568,197.5708439,197.5708439,197.8706994,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,down,0.005,db,0.050783193,0.0003493,200.2201591,200.2201591,200.5201055,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.005,db,0.050753968,0.0003832,203.0198156,203.0198156,203.3199128,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,down,0.005,db,0.050753968,0.0004144,205.9362423,205.9362423,206.2361919,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,down,0.005,db,0.050753968,0.0002638,208.702656,208.702656,209.0024423,1,507245,1,2022-09-02_12h00.37.843,stair 1,2022.2.2,60.06500235
